X1	X2	year_date	letter_id	folio_or_catalogue
366	613	1614	L814	F29
358	613	1614	L815	F29
392	319	1614	L816	F45
266	613	1614	L817	F29
337	576	1614	L818	F32
214	7863	1614	L819	F41
250	7864	1614	L820	F47
393	888	1614	L821	F48
332	613	1614	L822	F29
332	613	1614	L823	NA
366	613	1614	L824	F29
337	576	1614	L825	F32
266	613	1614	L826	NA
92	613	1614	L827	NA
394	613	1614	L828	F29
337	576	1614	L829	F32
395	401	1614	L830	F35
112	7865	1614	L831	F8
396	319	1614	L832	F45
266	613	1614	L833	NA
393	888	1614	L834	F48
397	319	1614	L835	F45
383	613	1614	L836	F29
319	7866	1614	L837	F44
112	281	1614	L838	F8
393	888	1614	L839	F48
319	7867	1614	L840	F44
396	319	1614	L841	F45
398	613	1614	L842	NA
399	888	1614	L843	F48
319	374	1614	L844	F44
347	401	1614	L845	F35
397	319	1614	L846	F45
214	1115	1614	L847	F41
396	319	1614	L848	F45
319	374	1614	L849	F44
112	7865	1614	L850	F8
400	401	1614	L851	F35
401	467	1614	L852	F35
393	888	1614	L853	F48
402	7868	1614	L854	NA
393	888	1614	L855	F48
393	888	1615	L856	F48
403	453	1615	L857	F46
404	401	1615	L858	F35
393	7286	1615	L859	F48
405	256	1615	L860	F47
406	401	1615	L861	F35
406	401	1615	L862	F35
401	7869	1615	L863	F50
393	888	1615	L864	F48
407	401	1615	L865	F36
393	888	1615	L866	F48
393	7286	1615	L867	F48
393	7286	1615	L868	F48
408	7812	1615	L869	F30
393	7286	1615	L870	F48
409	576	1615	L871	F32
112	281	1615	L872	F8
410	401	1615	L873	F25
411	401	1615	L874	F36
412	800	1615	L875	F47
413	613	1615	L876	F29
281	401	1615	L877	F36
414	7812	1615	L878	F8
112	7865	1615	L879	F8
112	451	1615	L880	F8
366	613	1615	L881	F29
415	401	1615	L882	F36
415	401	1615	L883	F36
416	401	1615	L884	F36
393	7286	1615	L885	F48
393	888	1615	L886	F48
393	888	1615	L887	F48
417	613	1615	L888	F29
393	888	1615	L889	F48
112	7870	1616	L890	F8
328	576	1616	L891	F32
418	613	1616	L892	NA
418	119	1616	L893	NA
325	576	1616	L894	F32
419	319	1616	L895	F45
420	401	1616	L896	F35
396	319	1616	L897	F45
326	613	1616	L898	NA
92	613	1616	L899	NA
399	888	1616	L900	F48
421	613	1616	L901	F29
272	304	1616	L902	F25
246	401	1616	L903	F35
422	304	1616	L904	F25
423	7871	1616	L905	F47
396	319	1616	L906	F45
373	7812	1616	L907	F30
385	7872	1616	L908	F49
424	430	1616	L909	F47
410	401	1616	L910	F25
410	401	1616	L911	F25
425	613	1616	L912	F29
426	7873	1616	L913	F47
427	613	1616	L914	F29
112	281	1616	L915	F8
411	401	1616	L916	F36
428	401	1616	L917	F25
429	401	1617	L918	F25
305	7812	1617	L919	NA
430	334	1617	L920	F47
431	613	1617	L921	F29
431	613	1617	L922	F29
432	305	1617	L923	F8
433	401	1617	L924	F36
434	1290	1617	L925	NA
340	256	1617	L926	F47
431	613	1617	L927	F29
422	304	1617	L928	F25
435	613	1617	L929	F29
436	613	1617	L930	F29
437	613	1617	L931	F29
438	401	1617	L932	F35
439	401	1617	L933	F35
428	401	1617	L934	F25
305	7812	1617	L935	NA
416	613	1617	L936	F29
438	401	1617	L937	F35
416	401	1617	L938	F35
440	576	1617	L939	F32
441	613	1617	L940	F29
442	576	1617	L941	F32
443	613	1617	L942	F29
444	613	1617	L943	NA
445	7812	1617	L944	F30
