X1	X2	year_date	letter_id	folio_or_catalogue
130	106	1565	L801	F10
130	106	1565	L802	F10
103	73	1565	L803	F13
134	33	1565	L804	F7
130	106	1565	L805	F10
74	74	1565	L806	F8
135	33	1565	L807	F7
136	106	1565	L808	F10
137	106	1565	L808	F10
138	33	1565	L809	F7
96	56	1565	L810	F14
139	74	1565	L811	F8
119	96	1565	L812	F14
104	33	1565	L813	F7
140	9998	1565	L814	F8
141	64	1565	L815	F11
33	104	1565	L816	F7
142	33	1565	L817	F7
143	64	1565	L818	F11
144	106	1565	L819	F10
145	106	1566	L820	F10
100	74	1566	L821	F8
146	64	1566	L822	F11
33	9999	1566	L823	F7
141	64	1566	L824	F11
147	183	1566	L825	F17
148	33	1566	L826	F7
96	56	1566	L827	F14
33	155	1566	L828	F7
149	73	1566	L829	F13
150	98	1566	L830	F16
33	148	1566	L831	F7
151	93	1566	L832	F8
122	33	1566	L833	F7
148	33	1566	L834	F7
152	33	1566	L835	F7
33	155	1566	L836	F7
33	148	1566	L837	F7
106	9995	1566	L838	F10
153	131	1566	L839	F8
73	1247	1566	L840	F13
33	41	1566	L841	F7
148	33	1566	L842	F7
154	131	1566	L843	F8
155	33	1566	L844	F7
33	148	1566	L845	F7
33	155	1566	L846	F7
96	56	1566	L847	F14
106	403	1566	L848	F10
106	403	1566	L849	F10
106	10000	1566	L850	F10
148	33	1567	L851	F7
106	169	1567	L852	F10
106	169	1567	L853	F10
155	33	1567	L854	F7
122	33	1567	L855	F7
33	148	1567	L856	F7
33	155	1567	L857	F7
33	158	1567	L858	F7
106	169	1567	L859	F10
106	403	1567	L860	F10
156	106	1567	L861	F10
149	73	1567	L862	F13
96	56	1567	L863	F14
157	106	1567	L864	F10
148	33	1567	L865	F7
155	33	1567	L866	F7
158	33	1567	L867	F7
159	106	1567	L868	F10
106	403	1567	L869	F10
160	73	1567	L870	F13
33	158	1567	L871	F7
33	155	1567	L872	F7
106	403	1567	L873	F10
106	403	1567	L874	F10
160	73	1567	L875	F13
144	106	1567	L876	F10
161	10001	1567	L877	F8
106	160	1567	L878	F10
162	73	1567	L879	F13
160	106	1567	L880	F10
106	403	1567	L881	F10
106	10002	1567	L882	F10
162	73	1567	L883	F13
113	10003	1567	L884	F8
106	10004	1567	L885	F10
33	148	1567	L886	F7
106	10005	1567	L887	F10
106	10006	1567	L888	F10
106	822	1567	L889	F10
106	10007	1567	L890	F10
106	421	1567	L891	F10
106	403	1567	L892	F10
106	10008	1567	L893	F10
106	10009	1567	L894	F10
106	164	1567	L895	F10
106	10010	1567	L896	F10
106	68	1567	L897	F10
106	9995	1567	L898	F10
163	106	1567	L899	F10
106	10011	1567	L900	F10
106	10012	1567	L901	F10
106	159	1567	L902	F10
106	10013	1567	L903	F10
106	184	1567	L904	F10
106	10012	1567	L905	F10
106	490	1567	L906	F10
93	161	1567	L907	F8
161	93	1567	L908	F8
106	10006	1567	L909	F10
106	10014	1567	L910	F10
164	106	1567	L911	F10
106	10015	1567	L912	F10
106	10002	1567	L913	F10
106	10015	1567	L914	F10
106	165	1567	L915	F10
106	403	1567	L916	F10
148	33	1567	L917	F7
106	10016	1567	L918	F10
106	156	1567	L919	F10
106	184	1567	L920	F10
106	10010	1567	L921	F10
106	160	1567	L922	F10
106	130	1567	L923	F10
106	10017	1567	L924	F10
106	10018	1567	L925	F10
106	10019	1567	L926	F10
106	10007	1567	L927	F10
